ano	mes	dia	vazao
2022	12	31	27.999
2022	12	30	31.445
2022	12	29	37.548
2022	12	28	46.572
2022	12	27	53.581
2022	12	26	58.839
2022	12	25	65.774
2022	12	24	84.618
2022	12	23	99.943
2022	12	22	109.655
2022	12	21	115.326
2022	12	20	160.75
2022	12	19	105.958
2022	12	18	47.771
2022	12	17	51.048
2022	12	16	47.771
2022	12	15	41.933
2022	12	14	44.608
2022	12	13	61.105
2022	12	12	67.21
2022	12	11	35.451
2022	12	10	29.223
2022	12	9	26.802
2022	12	8	27.999
2022	12	7	29.85
2022	12	6	43.069
2022	12	5	46.97
2022	12	4	53.154
2022	12	3	57.944
2022	12	2	40.813
2022	12	1	41.558
2022	11	30	25.917
2022	11	29	20.583
2022	11	28	22.216
2022	11	27	27.099
2022	11	26	32.095
2022	11	25	35.796
2022	11	24	28.913
2022	11	23	20.851
2022	11	22	17.46
2022	11	21	16.463
2022	11	20	21.393
2022	11	19	25.917
2022	11	18	21.666
2022	11	17	31.122
2022	11	16	24.755
2022	11	15	16.463
2022	11	14	14.773
2022	11	13	12.481
2022	11	12	14.773
2022	11	11	7.979
2022	11	10	7.793
2022	11	9	10.547
2022	11	8	13.608
2022	11	7	19.257
2022	11	6	24.182
2022	11	5	29.85
2022	11	4	33.083
2022	11	3	32.095
2022	11	2	21.941
2022	11	1	8.547
2022	10	31	6.712
2022	10	30	5.859
2022	10	29	4.289
2022	10	28	4.74
2022	10	27	4.74
2022	10	26	4.895
2022	10	25	5.051
2022	10	24	5.53
2022	10	23	4.895
2022	10	22	4.588
2022	10	21	4.74
2022	10	20	5.051
2022	10	19	5.369
2022	10	18	5.859
2022	10	17	6.026
2022	10	16	6.195
2022	10	15	6.365
2022	10	14	6.712
2022	10	13	7.245
2022	10	12	7.793
2022	10	11	8.934
2022	10	10	13.153
2022	10	9	8.934
2022	10	8	6.365
2022	10	7	6.195
2022	10	6	6.365
2022	10	5	6.538
2022	10	4	6.712
2022	10	3	6.888
2022	10	2	6.365
2022	10	1	6.195
2022	9	30	6.195
2022	9	29	6.195
2022	9	28	6.195
2022	9	27	6.365
2022	9	26	6.538
2022	9	25	6.712
2022	9	24	7.065
2022	9	23	7.245
2022	9	22	6.888
2022	9	21	6.712
2022	9	20	7.065
2022	9	19	8.167
2022	9	18	8.934
2022	9	17	7.245
2022	9	16	4.74
2022	9	15	4.895
2022	9	14	4.74
2022	9	13	5.694
2022	2	28	55.959
2022	2	27	74.886
2022	2	26	81.394
2022	2	25	80.069
2022	2	24	94.974
2022	2	23	96.132
2022	2	22	97.296
2022	2	21	94.974
2022	2	20	93.253
2022	2	19	75.396
2022	2	18	51.466
2022	2	17	44.414
2022	2	16	45.584
2022	2	15	45.584
2022	2	14	45.978
2022	2	13	53.367
2022	2	12	53.795
2022	2	11	48.58
2022	2	10	37.726
2022	2	9	19.784
2022	2	8	19.52
2022	2	7	19.652
2022	2	6	19.389
2022	2	5	19.127
2022	2	4	19.127
2022	2	3	19.257
2022	2	2	19.52
2022	2	1	19.916
2022	1	31	19.652
2022	1	30	19.389
2022	1	29	19.127
2022	1	28	19.916
2022	1	27	20.986
2022	1	26	25.479
2022	1	25	26.506
2022	1	24	29.068
2022	1	23	32.259
2022	1	22	34.596
2022	1	21	36.492
2022	1	20	38.083
2022	1	19	41.745
2022	1	18	43.835
2022	1	17	55.522
2022	1	16	62.256
2022	1	15	72.112
2022	1	14	74.124
2022	1	13	79.018
2022	1	12	81.66
2022	1	11	80.069
2022	1	10	69.149
2022	1	9	55.959
2022	1	8	46.572
2022	1	7	44.028
2022	1	6	43.26
2022	1	5	41.745
2022	1	4	41.371
2022	1	3	38.982
2022	1	2	38.441
2022	1	1	36.667
2021	12	31	36.492
2021	12	30	33.751
2021	12	29	29.379
2021	12	28	28.301
2021	12	27	19.916
2021	12	26	20.448
2021	12	25	20.717
2021	12	24	21.666
2021	12	23	22.078
2021	12	22	22.355
2021	12	21	22.632
2021	12	20	22.771
2021	12	19	23.051
2021	12	18	23.756
2021	12	17	24.325
2021	12	16	24.899
2021	12	15	25.479
2021	12	14	26.064
2021	12	13	26.358
2021	12	12	26.95
2021	12	11	27.248
2021	12	10	27.398
2021	12	9	27.848
2021	12	8	28.453
2021	12	7	28.913
2021	12	6	29.692
2021	12	5	30.962
2021	12	4	31.932
2021	12	3	34.766
2021	12	2	35.623
2021	12	1	36.317
2021	11	30	38.083
2021	11	29	38.083
2021	11	28	37.548
2021	11	27	36.667
2021	11	26	40.628
2021	11	25	41.371
2021	11	24	43.26
2021	11	23	44.608
2021	11	22	42.499
2021	11	21	42.121
2021	11	20	42.499
2021	11	19	40.628
2021	11	18	40.628
2021	11	17	42.31
2021	11	16	40.999
2021	11	15	40.813
2021	11	14	36.667
2021	11	13	35.969
2021	11	12	35.623
2021	11	11	36.492
2021	11	10	34.256
2021	11	9	30.323
2021	11	8	26.95
2021	11	7	26.358
2021	11	6	20.717
2021	11	5	15.129
2021	11	4	13.608
2021	11	3	11.392
2021	11	2	9.032
2021	11	1	9.428
2021	10	31	10.34
2021	10	30	8.74
2021	10	29	9.328
2021	10	28	10.135
2021	10	27	11.823
2021	10	26	12.26
2021	10	25	12.481
2021	10	24	12.041
2021	10	23	12.041
2021	10	22	12.481
2021	10	21	10.547
2021	10	20	10.756
2021	10	19	10.966
2021	10	18	9.931
2021	10	17	9.328
2021	10	16	10.135
2021	10	15	10.547
2021	10	14	10.756
2021	10	13	10.966
2021	10	12	10.547
2021	10	11	10.756
2021	10	10	11.178
2021	10	9	11.392
2021	10	8	11.823
2021	10	7	11.823
2021	10	6	11.606
2021	10	5	11.606
2021	10	4	10.135
2021	10	3	10.135
2021	10	2	10.34
2021	10	1	9.728
2021	9	30	12.041
2021	9	29	12.704
2021	9	28	12.481
2021	9	27	12.481
2021	9	26	12.26
2021	9	25	10.966
2021	9	24	10.756
2021	9	23	9.527
2021	9	22	11.178
2021	9	21	11.392
2021	9	20	11.392
2021	9	19	12.26
2021	9	18	11.823
2021	9	17	11.178
2021	9	16	11.392
2021	9	15	11.178
2021	9	14	10.34
2021	9	13	10.547
2021	9	12	11.178
2021	9	11	9.931
2021	9	10	10.135
2021	9	9	10.135
2021	9	8	10.547
2021	9	7	10.756
2021	9	6	11.178
2021	9	5	7.979
2021	9	4	7.426
2021	9	3	7.426
2021	9	2	6.712
2021	9	1	6.026
2021	8	31	6.026
2021	8	30	5.051
2021	8	29	5.209
2021	8	28	5.53
2021	8	27	5.051
2021	8	26	5.051
2021	8	25	4.895
2021	8	24	4.289
2021	8	23	3.855
2021	8	22	3.715
2021	8	21	3.44
2021	8	20	3.305
2021	8	19	3.305
2021	8	18	3.576
2021	8	17	3.44
2021	8	16	3.576
2021	8	15	3.855
2021	8	14	3.855
2021	8	13	3.042
2021	8	12	2.541
2021	8	11	2.422
2021	8	10	2.541
2021	8	9	2.422
2021	8	8	2.189
2021	8	7	2.076
2021	8	6	2.189
2021	8	5	2.304
2021	8	4	2.541
2021	8	3	2.422
2021	8	2	2.304
2021	8	1	2.304
2021	7	31	2.481
2021	7	30	2.541
2021	7	29	2.481
2021	7	28	2.246
2021	7	27	2.246
2021	7	26	2.304
2021	7	25	2.541
2021	7	24	2.602
2021	7	23	2.85
2021	7	22	2.977
2021	7	21	3.042
2021	7	20	3.238
2021	7	19	3.508
2021	7	18	4.07
2021	7	17	4.363
2021	7	16	4.513
2021	7	15	4.513
2021	7	14	4.664
2021	7	13	4.973
